skrossi,RNT,India,Mumbai,passed,
ZmjjKK,EDG,China,shanghai,passed,
Aspass,Loud,Brazil,Sao Paulo,failed,
Com,EG,USA,New York,failed,
Derke,FNC,UK,London,failed,
Sadhak,Loud,Brazil,Sao Paulo,failed,
jawgjemo,NRG,USA,New York,failed,
something1,PRX,Singapore,Singapore,failed,
forsaken,PRX,Singapore,Singapore,failed,
,,,,,
Polvi,GE,India,Mumbai,passed,
Benkai,GE,India,Mumbai,passed,
Ethan,NRG,USA,New York,failed,
skillz,GE,India,Mumbai,passed,
blazek1ng,GE,India,Mumbai,passed,
T3xture,GenG,Korea,seoul,passed,
